,name,product,kind,date,month,represent,region
608, 모코엠시스,소프트웨어 개발 및 공급업,"연계솔루션, 보안솔루션, APM솔루션",2019-10-31,12월,조천희,서울특별시
609, 티라유텍,소프트웨어 개발 및 공급업,스마트팩토리 솔루션,2019-10-31,12월,김정하,서울특별시
610, 롯데리츠,부동산 임대 및 공급업,부동산투자,2019-10-30,06월,롯데에..,서울특별시
611, 지누스,가구 제조업,매트리스 및 가구제품,2019-10-30,12월,심재형,경기도
612, 밸로프,소프트웨어 개발 및 공급업,기업인수합병,2019-10-29,12월,신재명,서울특별시
613, 캐리소프트,"영화, 비디오물, 방송프로그램 제작 및 배급업","영상 콘텐츠(30.05%), 공연(29.76%), 키즈카페(17.38%), 커머스(12.77%), 라이선스 및 기타(10.04%)",2019-10-29,12월,박창신,서울특별시
614, 한국미라클피플사,기타 화학제품 제조업,"은나노스텝, 닥터오렌지 등",2019-10-28,12월,이호경,경기도
615, 케이엔제이,반도체 제조업,"Edge Grinder, CVD-SiC Ring",2019-10-25,12월,심호섭,충청남도
616, 엔바이오니아,그외 기타 제품 제조업,양전하필터(정수기),2019-10-24,12월,한정철,충청북도
617, 팜스빌,기타 식품 제조업,다이어트 제품 및 건강기능 관련 제품,2019-10-22,12월,이병욱,서울특별시
618, 두산퓨얼셀,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",연료전지,2019-10-18,12월,정형락..,전북특별자치도
619, 라온피플,소프트웨어 개발 및 공급업,"카메라 모듈 검사기, AI 머신비전, 골프센서",2019-10-18,12월,이석중,경기도
620, 솔루스첨단소재,전자부품 제조업,"동박, 유압기기 등",2019-10-18,12월,진대제..,전북특별자치도
621, 콘텐트리중앙,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화 및 방송프로그램 제작, 유통, 광고",2019-10-18,12월,남중권..,서울특별시
622, 아톤,소프트웨어 개발 및 공급업,"모바일금융솔루션, mOTP 개발",2019-10-17,12월,김종서..,서울특별시
623, 녹십자웰빙,의약품 제조업,"전문의약품, 건강기능식품",2019-10-14,12월,김상현,서울특별시
624, 누보,"비료, 농약 및 살균, 살충제 제조업",기업 인수 및 합병,2019-10-11,12월,김창균..,경기도
625, 포커스에이치엔에스,영상 및 음향기기 제조업,영상저장장치 및 카메라,2019-10-02,12월,김대중,경기도
626, 엔지브이아이,자동차 신품 부품 제조업,천연가스자동차용 연료저장장치 등,2019-09-30,12월,이여연,강원특별자치도
627, 올리패스,기초 의약물질 제조업,인공유전자 플랫폼(OliPass PNA) 기술을 활용한 RNA치료제 신약개발,2019-09-20,12월,정신,경기도
628, 라닉스,반도체 제조업,"자동차 및 IoT 통신, 보안솔루션",2019-09-18,12월,최승욱,서울특별시
629, 한울반도체,특수 목적용 기계 제조업,비전검사장비,2019-09-18,12월,지선필,경기도
630, 한독크린텍,일반 목적용 기계 제조업,정수기 필터,2019-09-05,12월,고인선..,대전광역시
631, 아퓨어스,자연과학 및 공학 연구개발업,"실험동물, 연구용피부 및 연구용세포, 연구용역 ",2019-09-03,12월,최선덕,경기도
632, 네오크레마,기타 식품 제조업,기능성 식품 원료,2019-08-22,12월,한기수..,서울특별시
633, 마니커에프앤지,"도축, 육류 가공 및 저장 처리업","육가공품, 튀김류, 패티류, 삼계탕 등",2019-08-20,12월,최장호,경기도
634, 솔트웨어,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",enView,2019-08-20,12월,이정근,경기도
635, 나노브릭,기초 화학물질 제조업,"보안응용제품(M-tag 및 M-pac), 보안소재제품(M-secuprint)",2019-08-19,12월,주재현,경기도
