,bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat
22,MA010120220800023755,치킨하우스,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110600,가회동,1111014700,재동,1111014700100880000,1,대지,88,,서울특별시 종로구 재동 88,111103100004,서울특별시 종로구 북촌로,6,,1111014700100880000018618,,서울특별시 종로구 북촌로 6,110260,03059,,1,,126.985981538807,37.577504832744
23,MA010120220800025833,The닭더,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110650,혜화동,1111017300,명륜3가,1111017300100020024,1,대지,2,24,서울특별시 종로구 명륜3가 2-24,111104100089,서울특별시 종로구 명륜길,17,,1111017300100020024007307,,서울특별시 종로구 명륜길 17,110812,03071,,,,126.995744790465,37.5881394787604
24,MA010120220800026546,호야,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110580,교남동,1111017600,교남동,1111017600100290002,1,대지,29,2,서울특별시 종로구 교남동 29-2,111103000008,서울특별시 종로구 통일로,154,,1111017600100290002019776,,서울특별시 종로구 통일로 154,110100,03180,,,,126.964863441943,37.5679777547517
25,MA010120220800029680,교촌치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110650,혜화동,1111017200,명륜4가,1111017200101130001,1,대지,113,1,서울특별시 종로구 명륜4가 113-1,111104100034,서울특별시 종로구 대학로11길,23,,1111017200101130001032348,대학로스타시티빌딩,서울특별시 종로구 대학로11길 23,110530,03079,,1,,127.000400639028,37.5820519264019
26,MA010120220800030062,둘둘치킨종로1가점,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110615,종로1.2.3.4가동,1111012200,청진동,1111012200101360000,1,대지,136,,서울특별시 종로구 청진동 136,111104100360,서울특별시 종로구 종로5길,13,,1111012200101360000014728,삼공빌딩,서울특별시 종로구 종로5길 13,110130,03157,,,,126.980443243866,37.5710236989066
27,MA010120220800031696,치킨마루,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110670,창신1동,1111017400,창신동,1111017400100790002,1,대지,79,2,서울특별시 종로구 창신동 79-2,111103005007,서울특별시 종로구 지봉로,55,2,1111017400100790002005662,,서울특별시 종로구 지봉로 55-2,110838,03103,,,,127.015515988883,37.575132810051
28,MA010120220800034822,마미스치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110650,혜화동,1111017000,명륜1가,1111017000100100020,1,대지,10,20,서울특별시 종로구 명륜1가 10-20,111104100089,서울특별시 종로구 명륜길,16,,1111017000100100020009213,정진빌딩,서울특별시 종로구 명륜길 16,110530,03070,,,,126.995981454443,37.5882225856843
29,MA010120220800035691,서촌시민상회서촌닭강정공장,,I2,음식,I210,기타 간이,I21006,치킨,I56114,한식 해산물 요리 전문점,11,서울특별시,11110,종로구,11110530,사직동,1111010600,통의동,1111010600100490001,1,대지,49,1,서울특별시 종로구 통의동 49-1,111103100012,서울특별시 종로구 자하문로,6,,1111010600100490001028836,,서울특별시 종로구 자하문로 6,110054,03044,,1,,126.972668040132,37.5766598743879
30,MA010120220800037916,야들리애치킨,,I2,음식,I210,기타 간이,I21006,치킨,I56219,기타 주점업,11,서울특별시,11110,종로구,11110530,사직동,1111011800,내수동,1111011800100750000,1,대지,75,,서울특별시 종로구 내수동 75,111104100158,서울특별시 종로구 새문안로3길,36,,1111011800100750000032027,용비어천가,서울특별시 종로구 새문안로3길 36,110054,03173,,,,126.973290498344,37.5733764946013
31,MA010120220800039875,돈치킨숭인점,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11110,종로구,11110710,숭인2동,1111017500,숭인동,1111017500101830009,1,대지,183,9,서울특별시 종로구 숭인동 183-9,111103100013,서울특별시 종로구 종로,389,,1111017500101830010000499,정우빌딩,서울특별시 종로구 종로 389,110863,03112,,,,127.020502316524,37.5747417887707
