,name,code,product,kind,date,month,represent,region
1719, 상신브레이크,041650,자동차 신품 부품 제조업,"자동차 브레이크 슈 어셈블리,브레이크패드 제조/군납업,무역/부동산 임대",2004-10-27,12월,김효일..,대구광역시
1720, 국일제지,078130,기타 종이 및 판지 제품 제조업,"산업용 및 가정용 지류(강판간지, 다공지 등)",2004-10-22,12월,강태현,경기도
1721, DMS,068790,특수 목적용 기계 제조업,LCD 제조장비,2004-10-01,12월,이석화,경기도
1722, 인팩,023810,자동차 신품 부품 제조업,"자동차용 케이블,전자정보통신관련기기 제조,도매",2004-09-21,12월,최웅선..,서울특별시
1723, 퀀타피아,078940,생활용품 도매업,전기공사업,2004-08-27,12월,황현택,서울특별시
1724, 시너지이노베이션,048870,의료용 기기 제조업,카메라 어플리케이션 프로세서(CAP),2004-08-13,12월,박진형,경기도
1725, 신성델타테크,065350,가정용 기기 제조업,"세탁기, 자동차, 에어컨 및 LCD 부품",2004-08-06,12월,구본상..,경상남도
1726, GS,078930,기타 금융업,지주회사/부동산 임대,2004-08-05,12월,허태수..,서울특별시
1727, 유니퀘스트,077500,기계장비 및 관련 물품 도매업,"반도체직접회로 도매,무역,제조",2004-08-05,12월,앤드류..,경기도
1728, 다스코,058730,"구조용 금속제품, 탱크 및 증기발생기 제조업","데크플레이트,도로안전시설물(가드레일,강재방호책),건축용단열재보드(경질우레탄보드),신재생에너지사업",2004-08-02,12월,한상원..,전라남도
1729, 한국경제TV,039340,텔레비전 방송업,"광고수입, 협찬수입",2004-07-30,12월,현승윤,서울특별시
1730, LG디스플레이,034220,전자부품 제조업,액정표시장치(TFT-LCD) 제조,2004-07-23,12월,정철동,서울특별시
1731, 다날,064260,소프트웨어 개발 및 공급업,모바일콘텐츠 및 유무선전화결제,2004-07-23,12월,백현숙,경기도
1732, 텔코웨어,078000,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","소프트웨어(핵심망솔루션,무선데이터솔루션,요소기술) 개발,유지보수,무역",2004-07-20,12월,금한태,서울특별시
1733, 형지I&C,011080,봉제의복 제조업,"의복, 악세사리",2004-07-02,12월,최혜원,인천광역시
1734, 비케이홀딩스,050090,광고업,"Metal Paste, Solder Ball",2004-06-29,12월,홍석규..,경상북도
1735, 코엔텍,029960,"증기, 냉·온수 및 공기조절 공급업",산업폐기물 소각/매립처리,2004-06-18,12월,이민석,울산광역시
1736, YBM넷,057030,교육지원 서비스업,"온라인교육, 수수료수입 등",2004-06-08,12월,김종익,서울특별시
1737, CS,065770,통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)",2004-06-04,12월,최규훈,경기도
1738, 아미노로직스,074430,기초 의약물질 제조업,DVR용 영상처리 칩,2004-06-04,12월,오장석..,서울특별시
1739, 테라젠이텍스,066700,의약품 제조업,"Loading/Unloading System, PCB Bonding System",2004-05-27,12월,고진업..,경기도
1740, 디에이피,066900,전자부품 제조업,Build-Up PCB(인쇄회로기판),2004-05-14,12월,권오일..,경기도
1741, 한양디지텍,078350,반도체 제조업,메모리 모듈,2004-05-14,12월,김형육..,경기도
1742, STX엔진,077970,일반 목적용 기계 제조업,"엔진,터빈,내연기관 제조,도매",2004-05-10,12월,이상수,경상남도
1743, 동국알앤에스,075970,기타 비금속 광물제품 제조업,내화물,2004-02-13,12월,남기성,경상남도
1744, 빛과전자,069540,통신 및 방송 장비 제조업,기타무선통신장비제조업,2004-02-13,12월,박찬희,대전광역시
1745, 듀오백,073190,가구 제조업,사무용 및 가정용 의자,2004-02-06,12월,정관영,인천광역시
1746, 삼진엘앤디,054090,그외 기타 제품 제조업,"몰드프레임, TFT-LCD BLU",2004-02-06,12월,이명종,경기도
1747, 폴라리스AI파마,041910,의약품 제조업,원료의약품,2004-02-06,12월,김영관,경기도
1748, NICE,034310,회사 본부 및 경영 컨설팅 서비스업,"기업신용분석,유가증권등급평정,기업정보,긍융정보,경제정보,소비자신용정보 제공,시장조사,사회여론조사,점외 CD/ATM사업",2004-02-04,12월,조대민,서울특별시
1749, 대교,019680,초등 교육기관,"학습지,참고서 출판/건설업/종합유선방송 프로그램공급,디지털학원",2004-02-03,12월,강호준,서울특별시
1750, 세진티에스,067770,전자부품 제조업,LED/LCD용 광기능성 시트,2004-01-09,12월,김인식,경기도
1751, 한솔인티큐브,070590,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",기업통신 및 무선인터넷,2004-01-08,12월,김형준,서울특별시
1752, 리튬포어스,073570,그외 기타 제품 제조업,"휴대폰액세서리의 제조, 판매",2004-01-06,12월,"전웅,..",서울특별시
1753, 테라사이언스,073640,기타 금속 가공제품 제조업,유압용 관이음쇠,2004-01-06,12월,지서현..,경상남도
1754, 우주일렉트로,065680,전자부품 제조업,정보통신용 초정밀커넥터,2004-01-02,12월,노영백..,경기도
1755, 푸른소나무,057880,"섬유, 의복, 신발 및 가죽제품 소매업",의료기기,2003-12-29,12월,김은광,경기도
1756, 기업은행,024110,은행 및 저축기관,은행업,2003-12-24,12월,김성태,서울특별시
1757, 이엔플러스,074610,일반 목적용 기계 제조업,소방자동차 제조,2003-12-23,12월,최용인..,경기도
1758, SOOP,067160,소프트웨어 개발 및 공급업,1인미디어플랫폼,2003-12-19,12월,Jun..,경기도
1759, 드림어스컴퍼니,060570,영상·오디오물 제공 서비스업,온라인 음악 서비스,2003-12-19,12월,김동훈,서울특별시
1760, 버킷스튜디오,066410,전기 통신업,DVD타이틀,2003-12-19,12월,강지연,서울특별시
1761, 원익QnC,074600,유리 및 유리제품 제조업,반도체용 석영유리,2003-12-12,12월,백홍주,경상북도
1762, 로체시스템즈,071280,특수 목적용 기계 제조업,LCD 제조용 이송장비,2003-11-14,12월,박기환,경기도
1763, 에스텍,069510,영상 및 음향기기 제조업,스피커 및 스피커시스템,2003-11-14,12월,노광석,경상남도
1764, 오텍,067170,자동차 재제조 부품 제조업,"냉동 및 내장탑차, 앰블란스",2003-11-14,12월,강성희..,충청남도
1765, 키이스트,054780,"영화, 비디오물, 방송프로그램 제작 및 배급업",멀티미디어 SI,2003-11-14,12월,조지훈,서울특별시
1766, 현대에버다임,041440,특수 목적용 기계 제조업,"콘크리트펌프트럭, 중장비개량사업",2003-11-14,12월,임명진,충청북도
1767, 한솔홈데코,025750,제재 및 목재 가공업,"PB,MDF,바닥재,강화,재생목재,LPM,제재목 제조,도소매,무역/임업,벌목관련 사업",2003-11-04,12월,김경록,서울특별시
1768, 중앙백신,072020,기초 의약물질 제조업,동물용백신,2003-10-31,12월,윤인중,대전광역시
1769, 휴비츠,065510,의료용 기기 제조업,"자동검안기, 자동렌즈미터",2003-10-31,12월,김현수,경기도
1770, 우리산업홀딩스,072470,자동차 신품 부품 제조업,HVAC ACTUATOR (자동차 공조장치 부품 등),2003-10-28,12월,김명준,경기도
1771, 디지털대성,068930,일반 교습 학원,대성N스쿨 (교육 프랜차이즈),2003-10-17,12월,김희선,서울특별시
1772, 이수페타시스,007660,전자부품 제조업,"P.C.B(인쇄회로기판),M.L.B 제조",2003-10-07,12월,최창복,대구광역시
1773, 강원랜드,035250,유원지 및 기타 오락관련 서비스업,"카지노,관광호텔,골프장,스키장,체육시설 운영",2003-09-04,12월,최철규,강원특별자치도
1774, 유아이디,069330,전자부품 제조업,"ITO COATING, GLASS LAMINATION",2003-08-18,12월,박종수..,충청북도
1775, 티씨케이,064760,기타 비금속 광물제품 제조업,반도체 제조공정용 고순도 흑연제품,2003-08-18,12월,신 히..,경기도
1776, YG PLUS,037270,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","광고대행,광고물 제작",2003-08-01,12월,최성준,서울특별시
1777, 아모텍,052710,전자부품 제조업,"칩바리스터, 아몰퍼스코어",2003-08-01,12월,김병규,인천광역시
1778, 농심홀딩스,072710,기타 금융업,"지주회사,투자자문,경영컨설팅 서비스",2003-07-30,12월,박준,서울특별시
1779, 웰크론,065950,직물직조 및 직물제품 제조업,"기능성 침구용품, 크리너, 필터, 방탄·방검복",2003-07-29,12월,이영규,서울특별시
1780, 파워로직스,047310,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","2차전지 보호회로 및 배터리팩, 카메라모듈",2003-07-25,12월,장동훈,충청북도
1781, 한국금융지주,071050,기타 금융업,금융지주회사,2003-07-21,12월,김남구,서울특별시
1782, 이엘씨,041520,상품 중개업,반도체장비용 유량계와 유량 제어장치,2003-07-04,12월,김성익,충청남도
1783, 유엔젤,072130,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","소프트웨어(무선인터넷 솔루션,ASP통신사업자용 지능망솔루션 및 단문메세지센터) 개발,공급",2003-07-01,12월,유지원,경기도
1784, SBS,034120,텔레비전 방송업,"TV,라디오방송,광고",2003-06-25,12월,방문신,서울특별시
1785, 홈캐스트,064240,기타 전문 도매업,디지털 셋톱박스,2003-06-11,12월,권영철,서울특별시
1786, 씨씨에스,066790,텔레비전 방송업,케이블TV서비스 및 초고속인터넷서비스,2003-05-30,12월,정평영..,충청북도
1787, 웹젠,069080,소프트웨어 개발 및 공급업,3D 온라인게임 '뮤(MU)',2003-05-23,12월,김태영,경기도
1788, 엔씨소프트,036570,소프트웨어 개발 및 공급업,"인터넷머그게임(리니지),그룹웨어,인터넷커뮤니티 개발,유지,공급",2003-05-22,12월,김택진..,서울특별시
1789, 하이스틸,071090,1차 철강 제조업,"강관 제조,도매",2003-02-17,12월,엄정근,충청남도
1790, 대화제약,067080,의약품 제조업,"후로스판, 세파메칠 등",2003-02-14,12월,김은석..,강원특별자치도
1791, 우수AMS,066590,자동차 신품 부품 제조업,"엔진, 조향 및 기아변속기 부품",2003-02-12,12월,김선우,경상남도
1792, JW신약,067290,의약품 제조업,"매니큐어세트, 손톱깎이",2003-02-11,12월,김용관,경기도
1793, 하츠,066130,가정용 기기 제조업,"레인지후드, 빌트인 기기 등",2003-02-11,12월,김성식,경기도
1794, 빅텍,065450,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전자전시스템 장치류,2003-02-05,12월,임만규,인천광역시
1795, 탑엔지니어링,065130,특수 목적용 기계 제조업,LCD Cell Line 자동화 장치,2003-01-29,12월,권오준,경상북도
1796, DSR제강,069730,1차 철강 제조업,"와이어로프,각종 경강선,철선제품,PC강선,아연도 강연선 제조",2003-01-28,12월,홍하종..,전라남도
1797, 이루온,065440,소프트웨어 개발 및 공급업,이동통신 핵심망 및 서비스망 솔루션 개발 공급,2003-01-28,12월,이승구..,경기도
1798, 태경케미컬,006890,기초 화학물질 제조업,"드라이아이스,액체탄산,고체탄산 제조",2003-01-28,12월,박기환,서울특별시
1799, 재영솔루텍,049630,사진장비 및 광학기기 제조업,플라스틱 사출금형,2003-01-24,12월,김학권..,인천광역시
1800, 한국큐빅,021650,플라스틱제품 제조업,Curl Fit(표면처리사업),2003-01-24,12월,오봉균,경기도
1801, 인터플렉스,051370,전자부품 제조업,연성회로기판(Flexible PCB),2003-01-22,12월,신일운,경기도
1802, 삼영이엔씨,065570,통신 및 방송 장비 제조업,"GMDSS장비, GPS플로터 등",2003-01-21,12월,황재우,부산광역시
1803, 하이퍼코퍼레이션,065650,기계장비 및 관련 물품 도매업,음반재킷 제작,2003-01-21,12월,이상석,서울특별시
1804, 한성크린텍,066980,"건축기술, 엔지니어링 및 관련 기술 서비스업",수처리설비EPC,2003-01-17,12월,오태석..,서울특별시
1805, 리더스코스메틱,016100,"골판지, 종이 상자 및 종이용기 제조업",화장품,2003-01-15,12월,김진구..,서울특별시
1806, 한농화성,011500,기타 화학제품 제조업,"계면활성제,글리콜에테르 제조,판매",2003-01-09,12월,김응상..,전북특별자치도
1807, 케이피엠테크,042040,기타 전문 도매업,"표면처리약품, 전자동 도금설비",2003-01-07,12월,김지훈,경기도
1808, 디티씨,066670,전자부품 제조업,LCD Module,2002-12-30,12월,박윤민,충청남도
1809, 와이오엠,066430,기타 전문 도매업,"VCI,LDPE필름 외",2002-12-24,12월,염현규,경상남도
1810, 초록뱀미디어,047820,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송프로그램 제작 및 공급,2002-12-24,12월,서장원..,서울특별시
